Designator,Mid X,Mid Y,Rotation,Layer
HS9,207.3,-81.8,90.0,bottom
J1,64.0,-78.9,90.0,top
J2,78.0,-78.9,270.0,top
J3,64.0,-61.5,270.0,top
J5,67.0,-138.5,0.0,top
J8,67.0,-148.5,0.0,top
K1,123.73567,-69.038216,90.0,top
L1,179.7,-59.3,90.0,top
L3,179.7,-88.0,90.0,top
L5,112.5,-137.201286,180.0,top
L6,112.5,-165.9,180.0,top
L701,132.7,-108.245,180.0,top
L702,122.731946,-105.90046,90.0,top
L703,136.03,-96.78,20.0,top
L704,108.0,-97.3,90.0,top
L705,122.9,-121.1,0.0,top
N101,162.0,-110.5,0.0,top
Q1,198.1,-67.1365,0.0,top
Q10,129.062058,-171.99,270.0,top
Q11,126.5,-88.375,270.0,top
Q2,198.2625,-80.5,180.0,top
Q3,206.7,-82.05,270.0,top
Q4,206.3,-65.6,270.0,top
Q5,126.576419,-147.805,180.0,top
Q6,129.139558,-139.038919,270.0,top
Q7,129.139558,-132.805,270.0,top
Q8,126.576419,-156.8025,0.0,top
Q9,129.062058,-165.805,270.0,top
R1,195.98,-61.3,180.0,top
R10,102.35,-155.6,90.0,top
R101,126.264558,-173.01,270.0,bottom
R102,204.2875,-87.8,0.0,top
R103,203.5875,-59.5,0.0,top
R104,124.764558,-140.075,90.0,bottom
R105,125.364558,-143.45,180.0,bottom
R106,123.925,-167.8,0.0,bottom
R107,127.564558,-159.7,0.0,bottom
R108,124.814558,-133.8,90.0,bottom
R109,124.764558,-173.01,90.0,bottom
R110,125.36,-144.91,0.0,bottom
R12,121.9,-93.025,90.0,top
R13,126.6,-93.825,0.0,top
R14,94.08375,-98.4425,180.0,bottom
R15,94.09,-96.53,180.0,bottom
R16,94.08375,-100.3425,0.0,bottom
R17,98.44375,-95.3875,180.0,bottom
R2,200.35,-86.4,0.0,top
R201,68.250875,-101.635722,180.0,bottom
R202,68.243375,-99.725722,0.0,bottom
R3,158.5,-58.9,0.0,bottom
R32,126.264558,-140.1,270.0,bottom
R33,126.5,-166.9,270.0,bottom
R4,212.7,-80.0875,90.0,top
R401,134.975255,-97.104613,340.0,bottom
R402,135.659296,-98.983998,340.0,bottom
R403,132.851982,-95.722461,340.0,bottom
R404,131.978859,-101.152059,340.0,bottom
R5,211.8865,-63.5,90.0,top
R501,83.5375,-98.9,180.0,bottom
R502,83.5375,-97.0,180.0,bottom
R503,83.55,-100.8,0.0,bottom
R504,87.8,-96.0,180.0,bottom
R7,102.35,-146.5,270.0,top
R701,133.304309,-125.0,90.0,top
R702,132.8375,-122.0,180.0,top
R703,128.6375,-121.91,0.0,top
R704,136.1375,-120.1625,270.0,top
R705,114.856946,-106.92926,270.0,top
R706,116.656946,-109.66676,0.0,top
R707,152.959452,-89.767874,200.0,top
R709,98.65,-76.1,90.0,top
R710,97.55,-76.125,270.0,bottom
R711,97.55,-79.5,270.0,bottom
R8,126.314558,-133.8175,270.0,bottom
R801,199.3,-92.15,270.0,top
R802,201.3,-92.15,90.0,top
R803,196.1,-90.419805,0.0,top
R804,200.05,-57.629834,180.0,top
R805,196.0,-57.33125,180.0,top
R806,196.0,-59.375239,0.0,top
R807,212.55,-88.85,0.0,top
R808,215.2,-89.5375,270.0,top
R809,215.2,-92.9375,270.0,top
R9,127.57,-161.16,180.0,bottom
R901,112.0,-109.3,0.0,top
R902,83.7,-109.2625,270.0,bottom
R903,86.3,-109.2625,270.0,bottom
R904,92.2,-109.2625,270.0,bottom
R905,94.1,-109.2625,270.0,bottom
R906,96.2,-109.2625,270.0,bottom
R907,98.2,-109.2625,270.0,bottom
R908,105.0,-103.2375,90.0,bottom
R909,108.5,-103.8,180.0,bottom
R910,61.7,-127.7375,90.0,bottom
R911,66.9,-127.7,90.0,bottom
R912,71.7,-119.3,0.0,bottom
R913,71.7,-117.3,0.0,bottom
R914,82.1,-121.4,270.0,bottom
R915,84.6,-121.5,270.0,bottom
R916,87.2,-127.5375,90.0,bottom
R917,92.25,-127.6,90.0,bottom
R918,104.95,-127.4875,90.0,bottom
RV1,79.534945,-51.100001,180.0,top
RV101,123.14986397788883,-49.555611875506116,165.0,top
RV102,155.9,-70.71,180.0,top
RV103,143.81827532446042,-72.14461664338836,13.0,top
RV14,94.95,-61.8,180.0,bottom
RV15,94.745494,-75.707521,270.0,top
RV16,92.745493,-75.707521,270.0,top
RV2,96.100001,-54.25,270.0,top
RV3,79.55,-61.393452,0.0,top
RV401,167.822243,-98.451013,40.0,bottom
RV402,165.208117,-96.2575,40.0,bottom
RV403,162.613142,-94.080057,40.0,bottom
RV404,159.999015,-91.886544,40.0,bottom
RV405,155.257174,-91.468613,270.0,bottom
RV501,89.6,-69.5125,270.0,bottom
RV502,87.7,-71.5,270.0,bottom
RV503,89.6,-73.5125,270.0,bottom
RV504,87.7,-75.5125,270.0,bottom
RV505,90.4,-77.3,180.0,bottom
RV506,88.1,-75.8875,270.0,top
RV507,86.1,-75.8875,270.0,top
RV701,84.6125,-140.0,90.0,bottom
RV702,84.6125,-136.6,90.0,bottom
T1,159.344217,-118.5,225.0,top
T2,159.280256,-156.590455,225.0,top
TR701,144.720213,-93.2988,20.0,top
TR702,101.9,-88.5,90.0,top
U1,96.901,-146.5,270.0,bottom
U2,97.0375,-155.65,270.0,bottom
U201,72.328375,-98.080722,90.0,bottom
U3,122.396,-136.160864,90.0,bottom
U4,123.795,-162.4985,270.0,bottom
U401,145.112586,-94.03747,250.0,bottom
U402,131.211492,-98.926786,250.0,bottom
U5,93.7,-88.4,180.0,top
