Designator,Footprint,Quantity,Value,LCSC Part #
TR702,VPT87BB-01B,1,VPT87DFB01B,C2846915
"U1, U2",TSSOP-8_4.4x3mm_P0.65mm,2,INA240A1PWR,C93965
"U201, U402, U502, U701, U8",SOT-353_SC-70-5,5,MCP6486UT-E/LT,C5224800
"U3, U4",VSON-10_L3.0-W3.0-P0.50-TL-EP,2,UCC27282DRC,C2677035
U401,SOIC-8_7.5x5.85mm_P1.27mm,1,AMC1311BDWVR,C783598
"U5, U501",SOIC-8_7.5x5.85mm_P1.27mm,2,AMC1301DWR,C190273
U702,SOT-563,1,TPS562202,C2877547
"U703, U704",SOT-23-6,2,VPS8701B,C5189123
"U705, U804, U805, U806",SOT-23,4,TL431,C181103
U707,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,1,LMR38020SDDAR,C3192337
"U801, U802, U803",SOIC-8_3.9x4.9mm_P1.27mm,3,ISO7720FDR,C2878308
U901,OwnTech_SPINTHT_1,1,OwnTech_SPIN,
"U902, U903",SOT-363_SC-70-6,2,WE-TVS-824015043,C1869321
